2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native librarywpiutil
2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native librarywpiHal
2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native libraryhalsim_adx_gyro_accelerometer
2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native librarynavx_simulator
2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native libraryadx_family
2019-02-19 16:33:14 DEBUG JniLibraryResourceLoader:76 - Loading native libraryCTRE_PhoenixCCI
2019-02-19 16:33:14 INFO  SimulatorConfigReaderV1:71 - Loading C:\Users\mechanical.dragons\Documents\GitHub\5974DeepSpace\simulator_config\simulator_config.yml
2019-02-19 16:33:14 DEBUG Simulator:259 - Created default simulator
2019-02-19 16:33:15 ERROR JoystickDiscoverer:133 - Unknown joystick name Controller (XBOX 360 For Windows)
2019-02-19 16:33:15 INFO  Simulator:216 - Starting Robot Code
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 3 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 4 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 5 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 6 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 7 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 8 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 2 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 0 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  PwmCallbackJni:39 - Simulator on port 1 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 5 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 6 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 0 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 1 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 2 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 3 was not registerd before starting the robot
2019-02-19 16:33:15 WARN  DigitalCallbackJni:39 - Simulator on port 4 was not registerd before starting the robot
2019-02-19 16:33:15 INFO  Simulator:307 - Starting simulator
2019-02-19 16:33:21 INFO  JoystickFactory:77 - Wrote joystick config file to C:\Users\mechanical.dragons\Documents\GitHub\5974DeepSpace\simulator_config\joystick_config.properties
2019-02-19 16:33:21 INFO  JoystickFactory:77 - Wrote joystick config file to C:\Users\mechanical.dragons\Documents\GitHub\5974DeepSpace\simulator_config\joystick_config.properties
2019-02-19 16:33:21 INFO  JoystickFactory:77 - Wrote joystick config file to C:\Users\mechanical.dragons\Documents\GitHub\5974DeepSpace\simulator_config\joystick_config.properties
2019-02-19 16:33:25 INFO  JoystickFactory:77 - Wrote joystick config file to C:\Users\mechanical.dragons\Documents\GitHub\5974DeepSpace\simulator_config\joystick_config.properties
